SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
165,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P2)-CW-CL-251,PI/01741,0,2,0,61.677
166,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P2)-CW-CL-246,PI/01741,0,2,0,5.544
167,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-191,PI/01851,0,4,0,31.185
168,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-221,PI/01851,0,3,0,58.81589175
169,06/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-393,PI/01851,0,1,0,20.104755
170,07/06/2025,Blue antartic 1,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-12,PI/02005,0,5,0,17.1
171,07/06/2025,Blue antartic 1,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-13,PI/02005,20,20,36,36
172,07/06/2025,Blue antartic 1,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-10,PI/02005,0,20,0,68.1
173,07/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-15,PI/02005,2,2,5.8,5.826
174,07/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-14,PI/02005,21,21,63,62.975
175,07/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-13,PI/02005,15,15,27,26.99
176,07/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,60,0,66.0528,0
177,07/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,25,0,16.52,0
178,07/06/2025,Green,Doors,Rakesh,A07,Hinge Door,Shutter,0,131,A07-HDO-AL-007 & A06-HDO-AL-008,PI/01645,0,82,0,54.1
179,09/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TA-VB06,12-ACL-007",PI/02038,10,0,32.1,0
180,09/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB10-ACL-007,PI/02038,0,0,0,0
181,09/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB34-ACL-007,PI/02038,0,0,0,0
182,09/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TB-VB30,34-ACL-006",PI/02038,8,0,31,0
183,09/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TB-VB28,32-ACL-006",PI/02038,0,0,0,0
184,09/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,30,0,33.0264,0
185,09/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,52,A10-GB-ACL-003 & A10-GB-ACL-004,PI/02135,22,0,24.21936,0
186,09/06/2025,Brown,NON-SYSTEM,Sunner,SRV,F Channel,F Channel,0,321,LOT5-GBL-AL-002,PI/02009,0,317,0,276.96924
187,09/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,52,A10-GB-ACL-003 & A10-GB-ACL-004,PI/02135,128,0,140.91264,0
188,09/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,39,0,25.78,0
189,09/06/2025,Green,Doors,Rakesh,A07,Hinge Door,Shutter,0,131,A07-HDO-AL-007 & A06-HDO-AL-008,PI/01645,0,82,0,54.1
190,09/06/2025,Green,Doors,Rakesh,A10,Hinge Door,Shutter Kit,0,133,A10-HDO-AL-003 &A10-HDO-AL-004,PI/01270,133,0,19.5,0
191,09/06/2025,Green,Doors,Rakesh,A07,Hinge Door,Shutter Kit,0,134,A07-HDO-AL-005 & A06-HDO-AL-006,PI/01304,134,0,19.65,0
192,09/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001 &A12-HDO-AL-002,PI/02155,36,0,50.39,0
193,09/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,20,0,13.22,0
194,09/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW02-FS-AL-001,PI/01751,70,60,297.4587,254.9646
195,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,207,CW-TYPE-A-AL-001,PI/03061,3,0,11.924187,0
196,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE1-AL-002,PI/01707,4,0,14.3952886,0
197,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-J1-AL-001,PI/01707,4,0,2.43045,0
198,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-BE-AL-001,PI/01707,2,0,2.7532736,0
199,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE-AL-001,PI/01707,2,0,7.1976443,0
200,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-CB1-AL-001,PI/01707,2,0,1.933404,0
201,09/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE1-AL-001,PI/01707,2,0,7.1976443,0
202,09/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CWO1B-FS-AL-001,PI/01516,2,0,10.71576,0
203,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-212,PI/01851,1,0,10.938246,0
204,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-378,PI/01851,2,0,24.43518,0
205,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-144,PI/01851,3,0,43.780968,0
206,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-398,PI/01851,1,0,12.631278,0
207,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-390,PI/01851,3,0,40.6600425,0
208,09/06/2025,Navy Blue,WW/SCW,Thangavel,MS9,Curtain Wall,Curtain Wall - Frames,0,168,WO-SCW-FS-AL-087,PI/01379,5,0,22.262625,0
209,09/06/2025,Navy Blue,WW/SCW,Thangavel,MS9,Curtain Wall,Curtain Wall - Frames,0,168,WO-SCW-FS-AL-088,PI/01379,0,4,0,51.71067
210,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-127,PI/01851,0,1,0,20.793861
211,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-366,PI/01851,0,1,0,11.095656
212,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-393,PI/01851,0,1,0,7.79625
213,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-399,PI/01851,0,1,0,14.5234375
214,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-220,PI/01851,0,1,0,14.6929475
215,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-126,PI/01851,0,1,0,22.665291
216,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-329,PI/01851,0,1,0,13.273161
217,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-260,PI/01851,0,1,0,13.273161
218,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-92,PI/01851,0,1,0,19.75703125
219,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-195,PI/01851,0,1,0,10.7696875
220,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-391,PI/01851,0,1,0,13.5533475
221,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-191,PI/01851,0,1,0,13.6365075
222,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,81,S1(P3)-CW-CL-250,PI/01473,0,1,0,13.273161
223,09/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,47,S1(P3)-CW-CL-128,PI/00997,0,2,0,26.546322
224,09/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW06B-FS-AL-001,PI/01516,0,1,0,13.273161
225,09/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW01B-FS-AL-002,PI/01516,0,1,0,13.273161
226,09/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW02B-FS-AL-003,PI/01516,0,4,0,27.49901
227,09/06/2025,White,ACP,Mr.JEBY,CG,Modular ACP,ACP Bracket,Typical,350,TA-MOD-ACL-013 ,PI/01966,0,0,0,0
228,09/06/2025,White,ACP,Mr.JEBY,CVH,Modular ACP,ACP Bracket,Typical,8343,CVH-ACL-BR-AL-018 ,PI/01721,0,0,0,0
229,09/06/2025,White,ACP,Mr.JEBY,MS9,Modular ACP,ACP Bracket,Typical,206,POD-ACP-AL-25,PI/01690,0,0,0,0
230,09/06/2025,White,ACP,Mr.VINOTH,CG,Conventional ACP,ACP Clip,Typical,586,TWB-ACP-AL-205,PI/00903,0,0,0,0
231,09/06/2025,White,NON-SYSTEM,Mr.VINOTH,Sobha One,Shower Partition,Profile,Typical,1,S1-SHP-CL-01 ,PI/02116,1,1,0.81,0.81
232,10/06/2025,Blue antartic 2,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TA-VB06,12-ACL-007",PI/02038,0,0,0,0
233,10/06/2025,Blue Antartic 1,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TB-VB28,32-ACL-006",PI/02038,8,0,32.8,0
234,10/06/2025,Blue Antartic 1,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,"TA-VB04,06,08,10-ACL-008",PI/02038,8,0,27.2,0
235,10/06/2025,Blue antartic 2,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB36-ACL-007,PI/02038,6,0,19.3,0
236,10/06/2025,Blue antartic 2,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB40-ACL-007,PI/02038,6,0,20,0
237,10/06/2025,Blue antartic 1,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-10,PI/02005,0,15,0,51.1
238,10/06/2025,Blue antartic 3,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-12,PI/02005,0,10,0,34.2
239,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB38-ACL-007,PI/02038,6,0,20.4,0
240,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB08-ACL-007,PI/02038,5,0,19.9,0
241,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Corewall ACP,0,54,TA-VB44-VB45-VB46-VB47-ACL-006,PI/02093,3,0,10.4,0
242,10/06/2025,Yellow,ACP,Justin Jose,Crest,Conventional ACP,ACP Cladding,0,2,TC-VB-08-051,PI/02256,1,0,3.1,0
243,10/06/2025,Yellow,ACP,Justin Jose,Crest,Conventional ACP,ACP Cladding,0,2,TB-VB-24-ACL-020,PI/02256,1,0,3.1,0
244,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB10-ACL-007,PI/02038,6,0,23.9,0
245,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-VB34-ACL-007,PI/02038,6,0,17.8,0
246,10/06/2025,Yellow,NON-SYSTEM,Justin Jose,CG,Fence,Alum Fence,0,52,ALF-002,PI/02052,0,39,0,89.937
247,10/06/2025,Yellow,ACP,Justin Jose,CG,Alum Runner,Aluminium Runner,0,8,TB-VB-ALR-002,PI/01972,0,8,0,5.34
248,10/06/2025,Yellow,ACP,Justin Jose,CG,Alum Runner,Aluminium Runner,0,12,TB-ROOF-ACL-004,PI/02046,12,12,0,0
249,10/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,"TA-VB30,31,32-ACL-009",PI/02093,10,0,34.6,0
250,10/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-12,PI/02005,0,10,0,34.175
251,10/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,48,CW-TYPE-BB-AL-001,PI/01889,8,0,85.8858,0
252,10/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,48,CW-TYPE-BB-AL-002,PI/01889,4,0,42.9429,0
253,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-007,PI/01984,1,0,6.069635,0
254,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-008,PI/01984,1,0,6.069635,0
255,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-009,PI/01984,1,0,3.5017125,0
256,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-010,PI/01984,1,0,3.5017125,0
257,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-BP-007,PI/01984,0,0,0,0
258,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-011,PI/01984,1,0,22.612634,0
259,10/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-012,PI/01984,0,0,0,0
260,10/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P3)-CW-CL-404,PI/01741,1,0,17.166435,0
261,10/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW04B-FS-AL-001,PI/01516,0,4,0,31.185
262,10/06/2025,Navy Blue,WW/SCW,Thangavel,A06,Curtain Wall,Curtain Wall - Frames,0,52,A06-CW01A-FS-AL-002,PI/01516,0,2,0,39.2105945
263,10/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,48,CW-TYPE-BB-AL-001,PI/01889,0,8,0,55.3104552
264,10/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,48,CW-TYPE-BB-AL-002,PI/01889,0,4,0,27.6552276
265,10/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW02-FS-AL-001,PI/01751,21,21,89.23761,89.23761
266,10/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,0,145,0,159.6276
267,10/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,52,A10-GB-ACL-003 & A10-GB-ACL-004,PI/02135,81,0,89.17128,0
268,10/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,52,A10-GB-ACL-003 & A10-GB-ACL-004,PI/02135,33,0,36.32904,0
269,10/06/2025,Brown,NON-SYSTEM,Sunner,A05,Balustrade,F Channel,0,699,A05-GB-ACL-001,PI/02129,80,0,88.0704,0
270,10/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,0,44,0,29.08
271,10/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001 &A12-HDO-AL-002,PI/02155,81,0,113.37,0
272,10/06/2025,Green,Doors,Rakesh,A06,Hinge Door,Shutter Kit,0,138,A06-HDO-AL-005 & A06-HDO-AL-006,PI/01196,138,0,20.23,0
273,10/06/2025,Green,NON-SYSTEM,Rakesh,A10,Shower Partition,Kit,0,165,CRT-10-POD-CL-03,PI012184,0,165,0,79.7
274,10/06/2025,Green,Doors,Rakesh,Sobha One,LSD,Shutter kit ,0,1243,S1-LSD-CL-07,PI012737,0,60,0,16.54
275,10/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,371,S1(P2)-HD-CL-01A,PI/01999,0,16,0,22.39
276,10/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001 &A12-HDO-AL-002,PI/02155,60,0,83.98,0
277,10/06/2025,White,ACP,"Jeby, Vinodh",CG,Modular ACP,ACP Bracket,Typical,350,TA-MOD-ACL-013 ,PI/01966,100,100,0,0
278,10/06/2025,White,ACP,"Jeby, Vinodh",CVH,Modular ACP,ACP Bracket,Typical,8343,CVH-ACL-BR-AL-018 ,PI/01721,0,0,0,0
279,10/06/2025,White,ACP,"Jeby, Vinodh",MS9,Modular ACP,ACP Bracket,Typical,206,TA-MOD-ACL-013 ,PI/01690,46,46,8.6,8.6
280,10/06/2025,White,NON-SYSTEM,"Jeby, Vinodh",Sobha One (POD),Shower Partition,Profile,Typical,359,SO-POD-CL-14,PI/01659,77,77,59.88,59.88
281,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,2,10,6.4,32.1
282,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,2,0,6.8,0
283,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,6,0,20.9,0
284,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,0,0,0,0
285,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,0,0,0,0
286,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,0,0,0,0
287,11/06/2025,"Blue antartic 1,2",ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,136,TA-MOD-ACL-013 ,PI/02038,0,0,0,0
288,11/06/2025,"Blue antartic 1,2",NON-SYSTEM,Justin Jose,SRV,Roof Louver,VERTICAL LOUVER,0,360,4C-RF-AL-003,PI/01948,5,27,7.6,41.2
289,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,"TA-VB30,31,32-ACL-009",PI/02093,0,0,0,0
290,11/06/2025,Yellow,NON-SYSTEM,Justin Jose,CG,Fence,Alum Fence,0,52,ALF-002,PI/02052,0,13,0,29.979
291,11/06/2025,Yellow,ACP,Justin Jose,Crest,Conventional ACP,ACP Cladding,0,2,TC-VB-08-051,PI/02256,0,1,0,3.081
292,11/06/2025,Yellow,ACP,Justin Jose,Crest,Conventional ACP,ACP Cladding,0,2,TB-VB-24-ACL-020,PI/02256,0,1,0,3.081
293,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,TA-VB29-ACL-014,PI/02093,0,0,0,0
294,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,TA-VB43-ACL-008,PI/02093,1,0,3.5,0
295,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,TA-VB44-VB45-VB46-VB47-ACL-007,PI/02093,4,0,17,0
296,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,"TA-VB30,31,32-ACL-010",PI/02093,3,0,12.8,0
297,11/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,Vertical ACP,0,54,TA-VB43-ACL-011,PI/02093,1,0,4.3,0
298,11/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW04-FS-AL-001,PI/01751,60,30,254.9646,127.4823
299,11/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCWO8A-AL-61,PI/01746,0,0,0,0
300,11/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCWO8-AL-59,PI/01746,6,0,121.737,0
301,11/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-374,PI/01851,1,0,12.21759,0
302,11/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-368,PI/01851,1,0,10.938246,0
303,11/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-012,PI/01984,0,1,0,14.67549875
304,11/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-007,PI/01984,0,1,0,6.069635
305,11/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-008,PI/01984,0,1,0,6.069635
306,11/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,9,CG-ENT-CW-AL-009,PI/01984,0,1,0,3.5017125
307,11/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-004,PI/01830,0,1,0,27.944697
308,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE1-AL-002,PI/01707,0,4,0,14.3952886
309,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-J1-AL-001,PI/01707,0,4,0,2.43045
310,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-BE-AL-001,PI/01707,0,2,0,2.7532736
311,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE-AL-001,PI/01707,0,2,0,7.1976443
312,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-CB1-AL-001,PI/01707,0,2,0,1.933404
313,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AE1-AL-001,PI/01707,0,2,0,7.1976443
314,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-G1-AL-002,PI/01707,1,1,1.56816,1.56816
315,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE--J1-AL-002,PI/01707,1,1,1.20879,1.20879
316,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-SLD-BG-AL-002,PI/01707,1,1,2.91852,2.91852
317,11/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,142,CW-TYPE-AQ1-AL-002,PI/01707,1,1,2.91852,2.91852
318,11/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-340,PI/01851,1,0,12.886632,0
319,11/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-179,PI/01851,1,0,22.665291,0
320,11/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-379,PI/01851,1,0,5.80734,0
321,11/06/2025,Brown,NON-SYSTEM,Sunner,A07,F Channel,F Channel,0,11,A07-GB-ACL-003 & A07-GB-ACL-004,PI/02132,0,379,0,417.23352
322,11/06/2025,Brown,NON-SYSTEM,Sunner,A05,Balustrade,F Channel,0,699,A05-GB-ACL-001,PI/02129,81,0,89.16831325,0
323,11/06/2025,Brown,NON-SYSTEM,Sunner,A05,Balustrade,F Channel,0,699,A05-GB-ACL-001,PI/02129,97,0,106.78536,0
324,11/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,47,73,31.06,48.25
325,11/06/2025,Green,Doors,Rakesh,A12,Hinge Door,Outer,0,356,A12-HDO-AL-001 &A12-HDO-AL-002,PI/02155,34,0,47.59,0
326,11/06/2025,Green,Doors,Rakesh,A07,Hinge Door,Shutter Kit,0,131,A07-HDO-AL-007 & A07-HDO-AL-008,PI/01645,131,0,19.21,0
327,11/06/2025,Green,Doors,Ranjith,CVH,Hinge Door,Outer,0,120,1035-Z3B-HDO-AL-083,PI/01461,0,120,0,165.25
328,11/06/2025,Green,Doors,Rakesh,Other Sales,Hinge Door,Shutter,0,2,CL-173,PI/02184,2,2,0.72,0.72
